Request_Id, Request_Time, Keyword

1,13.884153900000001 ms,Emily
2,33.8807776 ms,Bully
1,10.0909144 ms,Emily
1,222.8032358 ms,Emily
2,249.3358886 ms,Emily
3,296.5044501 ms,Emily
4,337.8870881 ms,Emily
5,364.57770400000004 ms,Emily
6,414.7930984 ms,Emily
7,2196.4471503 ms,Emily
8,2333.5167125999997 ms,Emily
9,3375.1316579 ms,Emily
1,236.6158683 ms,Emily
2,524.9280801 ms,Emily
3,601.5060447 ms,Emily
4,740.0631948 ms,Emily
5,930.5369369 ms,Emily
6,1015.5845471 ms,Emily
7,1158.0704435 ms,Emily
8,1203.6222617 ms,Emily
9,1226.5064064 ms,Emily
10,1313.4221421 ms,Emily
11,1588.0756425 ms,Emily
12,2023.9117243 ms,Emily
13,2069.8671528 ms,Emily
14,2275.2981899 ms,Emily
15,2338.6853925 ms,Emily
16,2408.8782754 ms,Emily
17,2463.073684 ms,Emily
18,2576.6372876 ms,Emily
19,2611.7713371 ms,Emily
20,2634.1632961 ms,Emily
21,2780.0859275 ms,Emily
22,2849.1011088 ms,Emily
23,2884.7001821 ms,Emily
24,2952.2095013 ms,Emily
25,3023.2200184 ms,Emily
26,4266.7741542 ms,Emily
27,4495.618109200001 ms,Emily
1,24.162925 ms,Emily
2,296.38167730000004 ms,Emily
3,458.75927790000003 ms,Emily
4,557.1690436 ms,Emily
5,671.2586213 ms,Emily
6,759.9868293 ms,Emily
7,1124.7403674 ms,Emily
8,1177.6710773 ms,Emily
9,1831.3949408 ms,Emily
10,2052.6096574 ms,Emily
11,2336.6710337 ms,Emily
12,2555.8850500999997 ms,Emily
13,2771.3891919 ms,Emily
14,2933.0923700999997 ms,Emily
15,3730.8929447 ms,Emily
16,3797.6386187999997 ms,Emily
17,4177.384062900001 ms,Emily
18,4392.150029 ms,Emily
19,4488.2521216000005 ms,Emily
20,4630.6129392 ms,Emily
21,4693.5407008 ms,Emily
22,4785.4020208 ms,Emily
23,4959.329186700001 ms,Emily
24,5045.356765500001 ms,Emily
25,5156.9549002 ms,Emily
26,5220.985054700001 ms,Emily
27,5654.9997816000005 ms,Emily
28,5823.7091053 ms,Emily
29,5881.2088712 ms,Emily
30,5981.2227942 ms,Emily
31,6037.2298452 ms,Emily
32,6167.323611700001 ms,Emily
33,6262.4588596 ms,Emily
34,7187.1482856 ms,Emily
35,7251.9359124 ms,Emily
36,7383.4739176 ms,Emily
37,7812.5892689 ms,Emily
38,7886.696894000001 ms,Emily
39,7942.7147648 ms,Emily
40,8003.3217996 ms,Emily
41,8248.024572 ms,Emily
42,8603.1045133 ms,Emily
43,8683.1393109 ms,Emily
44,8770.903855800001 ms,Emily
45,8887.0031251 ms,Emily
46,8955.3850379 ms,Emily
47,9080.2031475 ms,Emily
48,9242.1651309 ms,Emily
49,9304.799635 ms,Emily
50,9347.9989202 ms,Emily
51,9737.5987142 ms,Emily
52,9878.604933800001 ms,Emily
53,10171.0028513 ms,Emily
54,10263.0273338 ms,Emily
55,10384.9109113 ms,Emily
56,10426.1506074 ms,Emily
57,10524.6492218 ms,Emily
58,10686.0823474 ms,Emily
59,10760.5387133 ms,Emily
60,10868.3468517 ms,Emily
61,11062.5721513 ms,Emily
62,11171.207170200001 ms,Emily
63,11317.0643692 ms,Emily
64,11426.081221800001 ms,Emily
65,11489.7461062 ms,Emily
66,11542.503138 ms,Emily
67,11590.2771182 ms,Emily
68,11681.7589726 ms,Emily
69,11829.0092029 ms,Emily
70,12099.258022600001 ms,Emily
71,12154.7762501 ms,Emily
72,12273.178555100001 ms,Emily
1,48.487392199999995 ms,Emily
1,99.5914198 ms,Emily
2,155.9337 ms,Emily
3,1070.239963 ms,Emily
4,2049.8076463 ms,Emily
1,1185.7409705 ms,Emily
2,1534.6191021000002 ms,Emily
1,25.119702 ms,Emily
1,8.8941655 ms,Emily
2,69.42948539999999 ms,Emily
3,148.3789587 ms,Emily
4,199.6959809 ms,Emily
5,284.75661690000004 ms,Emily
6,400.3075207 ms,Emily
7,741.2198559 ms,Emily
8,889.5484192 ms,Emily
9,1019.2757869 ms,Emily
10,1116.7047744000001 ms,Emily
11,1262.4709111000002 ms,Emily
12,1312.255415 ms,Emily
13,1355.5263089 ms,Emily
14,1676.6284676 ms,Emily
15,1722.8421609000002 ms,Emily
16,1826.3993970000001 ms,Emily
17,1870.2912765 ms,Emily
18,2057.5764178 ms,Emily
19,2177.1364074 ms,Emily
1,63.375482700000006 ms,Emily
1,669.7176542 ms,Emily
2,701.7240156 ms,Emily
3,738.9233575 ms,Emily
4,764.5824442 ms,Emily
5,789.1325769 ms,Emily
6,845.7100666 ms,Emily
7,954.771684 ms,Emily
8,1243.5234315 ms,Emily
9,1458.476792 ms,Emily
10,1567.5724902 ms,Emily
11,1658.6113298 ms,Emily
12,1713.6959248 ms,Emily
13,1864.9157141 ms,Emily
14,2479.1409771 ms,Emily
15,2587.1013827 ms,Emily
16,2644.367471 ms,Emily
17,2677.5482504 ms,Emily
18,2694.5725068 ms,Emily
19,2720.9989777 ms,Emily
20,2798.1914969 ms,Emily
21,2877.632652 ms,Emily
22,2912.7194841 ms,Emily
23,2928.8254312 ms,Emily
24,3001.6471918 ms,Emily
25,3024.5654263 ms,Emily
26,3076.316121 ms,Emily
27,3108.4137505 ms,Emily
28,3163.8251135 ms,Emily
29,3584.3469724 ms,Emily
30,4057.501656 ms,Emily
31,4144.0440681 ms,Emily
32,4194.4192576 ms,Emily
33,4867.470712 ms,Emily
34,4950.7715993 ms,Emily
35,5026.0542661 ms,Emily
